path,snapshot,size,sha256,kind,ext,lines,role,dup_count,canonical_path,disposition
existing-bundles/NUR-BACKEND-BEFORE-20260729-025155.bundle,existing-bundles,5356175,e57584ea09efbfa91a7c453d318310fef6e272f884c32ad1e63610d0a995844c,binary,.bundle,0,GIT_BUNDLE,1,existing-bundles/NUR-BACKEND-BEFORE-20260729-025155.bundle,TEST_EVIDENCE
existing-bundles/NUR-BEFORE-FABLE-20260720-155600-forensic-rebuild.bundle,existing-bundles,2921261,d5a4594c46090eba92fc8be4f83fc1e13b290ca7bf269edc24db106e052c6008,binary,.bundle,0,GIT_BUNDLE,1,existing-bundles/NUR-BEFORE-FABLE-20260720-155600-forensic-rebuild.bundle,TEST_EVIDENCE
existing-bundles/NUR-FINAL-READINESS-1bd55de.bundle,existing-bundles,5356215,76251ab6141a995dcaf5d7be5e1e9dec4ed70e50b6f5cf952b510a8f6aa0f7e2,binary,.bundle,0,GIT_BUNDLE,1,existing-bundles/NUR-FINAL-READINESS-1bd55de.bundle,TEST_EVIDENCE
existing-bundles/NUR-LANE-A-20260730-142008.bundle,existing-bundles,5456928,36885b650191df438dbf46b8f242a3afab55190d75e0fd0db3f8f5109f7fe210,binary,.bundle,0,GIT_BUNDLE,1,existing-bundles/NUR-LANE-A-20260730-142008.bundle,TEST_EVIDENCE
existing-bundles/NUR-LANE-A-WORKTREE-20260730-142008.tar.gz,existing-bundles,3953331,20c97950ef0ce9a8ac4071f62e39da0ca0e800ea99a7f02d88ebc62592b52e67,binary,.gz,0,LANE_WORKTREE_TARBALL,1,existing-bundles/NUR-LANE-A-WORKTREE-20260730-142008.tar.gz,TEST_EVIDENCE
existing-bundles/NUR-LANE-B-20260730-142019.bundle,existing-bundles,2983792,d40b9d21b0672f9e1c79ae3e77c3413d15e90fe19278eeea4fc08953fec235db,binary,.bundle,0,GIT_BUNDLE,1,existing-bundles/NUR-LANE-B-20260730-142019.bundle,TEST_EVIDENCE
existing-bundles/NUR-LANE-B-WORKTREE-20260730-142019.tar.gz,existing-bundles,3256799,13aa5dfdec3f0571d1ec94797548170d8fe501cb0c28a1ea2ceaf20e61824e38,binary,.gz,0,LANE_WORKTREE_TARBALL,1,existing-bundles/NUR-LANE-B-WORKTREE-20260730-142019.tar.gz,TEST_EVIDENCE
git-bundles/01-NUR-INTEGRATION-20260722.bundle,git-bundles,5679386,7c4cfb67070c03c2705f01f6265d5d4cccf0945573f6991f8effd2fe4d3cebf0,binary,.bundle,0,GIT_BUNDLE,1,git-bundles/01-NUR-INTEGRATION-20260722.bundle,TEST_EVIDENCE
git-bundles/02-NUR-WT-BACKEND.bundle,git-bundles,5679050,4c4693ef56ea30cc641c3f2d2bbd9f0f6666b190ec7697768d72dcb9587386d8,binary,.bundle,0,GIT_BUNDLE,1,git-bundles/02-NUR-WT-BACKEND.bundle,TEST_EVIDENCE
git-bundles/03-NUR-G10-G15.bundle,git-bundles,3114546,afa39778e71c9ff6487bf547f30beb1492752040998d4bb6de4db7e821a84578,binary,.bundle,0,GIT_BUNDLE,1,git-bundles/03-NUR-G10-G15.bundle,TEST_EVIDENCE
git-bundles/04-NUR-FABLE-ROOT.bundle,git-bundles,5678019,384602719230a36c17204dd46edd2f1b712c87dd3cba09c900ddc65a13ef2d2d,binary,.bundle,0,GIT_BUNDLE,1,git-bundles/04-NUR-FABLE-ROOT.bundle,TEST_EVIDENCE
git-bundles/05-NUR-FABLE-CONTROL-MATRIX.bundle,git-bundles,5677471,807627763a30f8f31befed9064b28252ad6e6bd12f9a509521a05cff316d53ac,binary,.bundle,0,GIT_BUNDLE,1,git-bundles/05-NUR-FABLE-CONTROL-MATRIX.bundle,TEST_EVIDENCE
git-bundles/06-NUR-LIVE-TALK-PROOF.bundle,git-bundles,5678848,3ce62aeab19dd6094cf5a7ca814de14e8390a3bb2079ad4f16b6881e01d57fd5,binary,.bundle,0,GIT_BUNDLE,1,git-bundles/06-NUR-LIVE-TALK-PROOF.bundle,TEST_EVIDENCE
git-bundles/07-NUR-DEMO-TALK-FIXED.bundle,git-bundles,5677485,37ab351575af4da0f39fec8d1e5eb2fca065a20eb7a67468570946c213090803,binary,.bundle,0,GIT_BUNDLE,1,git-bundles/07-NUR-DEMO-TALK-FIXED.bundle,TEST_EVIDENCE
git-bundles/08-NUR-DEMO-COUSIN.bundle,git-bundles,5678822,ac968a6ed90c6b5fa21f90fa188040c9fa712b37aa5eaad6edb5afea802748e5,binary,.bundle,0,GIT_BUNDLE,1,git-bundles/08-NUR-DEMO-COUSIN.bundle,TEST_EVIDENCE
metadata/01-NUR-INTEGRATION-20260722-index.patch,metadata,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,text,.patch,0,AUDIT_METADATA,122,repos/01-NUR-INTEGRATION-20260722/apps/api/app/__init__.py,DOCUMENTATION
metadata/01-NUR-INTEGRATION-20260722-working-tree.patch,metadata,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,text,.patch,0,AUDIT_METADATA,122,repos/01-NUR-INTEGRATION-20260722/apps/api/app/__init__.py,DOCUMENTATION
metadata/01-NUR-INTEGRATION-20260722.txt,metadata,5840,6b684a5efab0bb29edaa7951e6b089d17f947cf17a877479631c7ca20bfbdaed,text,.txt,111,AUDIT_METADATA,1,metadata/01-NUR-INTEGRATION-20260722.txt,DOCUMENTATION
metadata/02-NUR-WT-BACKEND-index.patch,metadata,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,text,.patch,0,AUDIT_METADATA,122,repos/01-NUR-INTEGRATION-20260722/apps/api/app/__init__.py,DOCUMENTATION
metadata/02-NUR-WT-BACKEND-working-tree.patch,metadata,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,text,.patch,0,AUDIT_METADATA,122,repos/01-NUR-INTEGRATION-20260722/apps/api/app/__init__.py,DOCUMENTATION
metadata/02-NUR-WT-BACKEND.txt,metadata,3138,aed9ca8a7280384b4644f42f31c8cdef930159c29171caf4fcb3f383db043e8c,text,.txt,74,AUDIT_METADATA,1,metadata/02-NUR-WT-BACKEND.txt,DOCUMENTATION
metadata/03-NUR-G10-G15-index.patch,metadata,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,text,.patch,0,AUDIT_METADATA,122,repos/01-NUR-INTEGRATION-20260722/apps/api/app/__init__.py,DOCUMENTATION
metadata/03-NUR-G10-G15-working-tree.patch,metadata,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,text,.patch,0,AUDIT_METADATA,122,repos/01-NUR-INTEGRATION-20260722/apps/api/app/__init__.py,DOCUMENTATION
metadata/03-NUR-G10-G15.txt,metadata,2681,18a480f81e0c6844cf3931b261c40ffb220b30dd3d1ed56af4ec1792c0e94b5a,text,.txt,52,AUDIT_METADATA,1,metadata/03-NUR-G10-G15.txt,DOCUMENTATION
metadata/04-NUR-FABLE-ROOT-index.patch,metadata,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,text,.patch,0,AUDIT_METADATA,122,repos/01-NUR-INTEGRATION-20260722/apps/api/app/__init__.py,DOCUMENTATION
metadata/04-NUR-FABLE-ROOT-working-tree.patch,metadata,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,text,.patch,0,AUDIT_METADATA,122,repos/01-NUR-INTEGRATION-20260722/apps/api/app/__init__.py,DOCUMENTATION
metadata/04-NUR-FABLE-ROOT.txt,metadata,3061,526a327c1aa931353a586e85d1c574af0c7f8d151c96a057a95e9b1d9c176e16,text,.txt,78,AUDIT_METADATA,1,metadata/04-NUR-FABLE-ROOT.txt,DOCUMENTATION
metadata/05-NUR-FABLE-CONTROL-MATRIX-index.patch,metadata,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,text,.patch,0,AUDIT_METADATA,122,repos/01-NUR-INTEGRATION-20260722/apps/api/app/__init__.py,DOCUMENTATION
metadata/05-NUR-FABLE-CONTROL-MATRIX-working-tree.patch,metadata,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,text,.patch,0,AUDIT_METADATA,122,repos/01-NUR-INTEGRATION-20260722/apps/api/app/__init__.py,DOCUMENTATION
metadata/05-NUR-FABLE-CONTROL-MATRIX.txt,metadata,5208,8857c012cd8eedc4e86eafe94b53a36d1fbd38d4380f8e1ec322c7f027449c14,text,.txt,104,AUDIT_METADATA,1,metadata/05-NUR-FABLE-CONTROL-MATRIX.txt,DOCUMENTATION
metadata/06-NUR-LIVE-TALK-PROOF-index.patch,metadata,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,text,.patch,0,AUDIT_METADATA,122,repos/01-NUR-INTEGRATION-20260722/apps/api/app/__init__.py,DOCUMENTATION
