logical_path,current_git,01-NUR-INTEGRATION-20260722,02-NUR-WT-BACKEND,03-NUR-G10-G15,04-NUR-FABLE-ROOT,05-NUR-FABLE-CONTROL-MATRIX,06-NUR-LIVE-TALK-PROOF,07-NUR-DEMO-TALK-FIXED,08-NUR-DEMO-COUSIN,09-NUR-OLDER-LOCAL,10-NUR-DOWNLOADS-SOURCE,n_snapshots,n_distinct_versions,verdict
.dockerignore,9204a283609b,9204a283609b,9204a283609b,9204a283609b,9204a283609b,9204a283609b,9204a283609b,9204a283609b,9204a283609b,-,-,8,1,IDENTICAL_EVERYWHERE
.env,ABSENT,-,-,-,46256802863d,-,ad324a9ad44b,e74ce28c4451,4d526df387fc,-,-,4,4,ARCHIVE_ONLY_NOT_IN_CURRENT
.env.example,9b8cb19c9bc0,9b8cb19c9bc0,9b8cb19c9bc0,0c9ec8fd3eea,0c9ec8fd3eea,9b8cb19c9bc0,9b8cb19c9bc0,9b8cb19c9bc0,9b8cb19c9bc0,efca6eb59932,-,9,3,CURRENT_MATCHES_SOME_ARCHIVE
.env.local,ABSENT,-,-,-,fb7724e0a3bf,-,042400da26ca,0de19e524f7a,0de19e524f7a,-,-,4,3,ARCHIVE_ONLY_NOT_IN_CURRENT
.git,ABSENT,86a30add8d47,b99e9361bf92,bfc6998d2b42,-,d8adb11c3937,dd4c4a632b1c,2069e9416929,158148658704,-,-,7,7,ARCHIVE_ONLY_NOT_IN_CURRENT
.github/workflows/readiness.yml,bac0c77ebc2c,bac0c77ebc2c,f8a2e1b7103a,f8a2e1b7103a,f8a2e1b7103a,bac0c77ebc2c,bac0c77ebc2c,f8a2e1b7103a,f8a2e1b7103a,-,-,8,2,CURRENT_MATCHES_SOME_ARCHIVE
.gitignore,f8bfb5ee97db,f8bfb5ee97db,f8bfb5ee97db,f8bfb5ee97db,f8bfb5ee97db,f8bfb5ee97db,f8bfb5ee97db,f8bfb5ee97db,f8bfb5ee97db,250660fceb32,-,9,2,CURRENT_MATCHES_SOME_ARCHIVE
BUILD_WEEK_SUBMISSION.md,4b0f30f1e56c,4b0f30f1e56c,4b0f30f1e56c,4b0f30f1e56c,4b0f30f1e56c,4b0f30f1e56c,4b0f30f1e56c,4b0f30f1e56c,4b0f30f1e56c,-,-,8,1,IDENTICAL_EVERYWHERE
COUSIN_RELEASE_STATUS.md,f761e1996a33,f761e1996a33,f761e1996a33,f761e1996a33,f761e1996a33,f761e1996a33,f761e1996a33,f761e1996a33,f761e1996a33,-,-,8,1,IDENTICAL_EVERYWHERE
COUSIN_START_HERE.md,cf7306925157,cf7306925157,cf7306925157,cf7306925157,cf7306925157,cf7306925157,cf7306925157,cf7306925157,cf7306925157,-,-,8,1,IDENTICAL_EVERYWHERE
DEMO_SCRIPT.md,4f558aaebc73,4f558aaebc73,4f558aaebc73,4f558aaebc73,4f558aaebc73,4f558aaebc73,4f558aaebc73,4f558aaebc73,4f558aaebc73,-,-,8,1,IDENTICAL_EVERYWHERE
Makefile,472e92fd3454,472e92fd3454,472e92fd3454,472e92fd3454,472e92fd3454,472e92fd3454,472e92fd3454,472e92fd3454,472e92fd3454,6af3724e319b,-,9,2,CURRENT_MATCHES_SOME_ARCHIVE
NUR/RUN_NUR.sh,ABSENT,-,-,-,-,-,-,-,-,-,389ee7d2018b,1,1,ARCHIVE_ONLY_NOT_IN_CURRENT
NUR_RECENTLY_CHANGED_FILES.txt,3bbdbea0baff,3bbdbea0baff,3bbdbea0baff,3bbdbea0baff,3bbdbea0baff,3bbdbea0baff,3bbdbea0baff,3bbdbea0baff,3bbdbea0baff,-,-,8,1,IDENTICAL_EVERYWHERE
NUR_WIP_FILE_LIST.txt,8a87df39f0e3,8a87df39f0e3,8a87df39f0e3,8a87df39f0e3,8a87df39f0e3,8a87df39f0e3,8a87df39f0e3,8a87df39f0e3,8a87df39f0e3,-,-,8,1,IDENTICAL_EVERYWHERE
