method,path,name,classification,authentication,csrf,trusted_origin,machine_guard,dependencies,allowlist_reason,compliant
DELETE,/api/v1/account,request_account_deletion,AUTHENTICATED_BROWSER_MUTATION,SESSION,YES,YES,,get_current_identity;get_db;get_scoped_db;require_csrf;require_trusted_origin,,YES
POST,/api/v1/account/deletion/cancel,cancel_account_deletion,PUBLIC_BROWSER_MUTATION,PUBLIC,YES,YES,,get_db;require_public_browser_csrf;require_trusted_origin,,YES
POST,/api/v1/account/deletion/receipt,account_deletion_receipt,PUBLIC_BROWSER_MUTATION,PUBLIC,YES,YES,,get_db;require_public_browser_csrf;require_trusted_origin,,YES
POST,/api/v1/account/export,export_account,AUTHENTICATED_BROWSER_MUTATION,SESSION,YES,YES,,get_current_identity;get_db;get_scoped_db;require_csrf;require_trusted_origin,,YES
GET,/api/v1/achievements,achievements,SAFE_METHOD,SESSION,NO,NO,,get_current_identity;get_db;get_scoped_db,,YES
GET,/api/v1/agentic/approvals,list_approvals,SAFE_METHOD,SESSION,NO,NO,,get_current_identity;get_db;get_scoped_db,,YES
POST,/api/v1/agentic/approvals/{approval_id}/decide,decide_approval,AUTHENTICATED_BROWSER_MUTATION,SESSION,YES,YES,,get_current_identity;get_db;get_scoped_db;require_agentic_mutation_rate;require_csrf;require_trusted_origin,,YES
GET,/api/v1/agentic/policy,get_policy,SAFE_METHOD,SESSION,NO,NO,,get_current_identity;get_db;get_scoped_db,,YES
PUT,/api/v1/agentic/policy,put_policy,AUTHENTICATED_BROWSER_MUTATION,SESSION,YES,YES,,get_current_identity;get_db;get_scoped_db;require_agentic_mutation_rate;require_csrf;require_trusted_origin,,YES
GET,/api/v1/agentic/tools,list_tools,SAFE_METHOD,SESSION,NO,NO,,get_current_identity;get_db,,YES
GET,/api/v1/agentic/workflows,list_workflows,SAFE_METHOD,SESSION,NO,NO,,get_current_identity;get_db;get_scoped_db,,YES
POST,/api/v1/agentic/workflows,create_workflow,AUTHENTICATED_BROWSER_MUTATION,SESSION,YES,YES,,get_current_identity;get_db;get_scoped_db;require_agentic_mutation_rate;require_csrf;require_trusted_origin,,YES
GET,/api/v1/agentic/workflows/{workflow_id},get_workflow,SAFE_METHOD,SESSION,NO,NO,,get_current_identity;get_db;get_scoped_db,,YES
POST,/api/v1/agentic/workflows/{workflow_id}/cancel,cancel_workflow,AUTHENTICATED_BROWSER_MUTATION,SESSION,YES,YES,,get_current_identity;get_db;get_scoped_db;require_agentic_mutation_rate;require_csrf;require_trusted_origin,,YES
GET,/api/v1/agentic/workflows/{workflow_id}/events,workflow_events,SAFE_METHOD,SESSION,NO,NO,,get_current_identity;get_db;get_scoped_db,,YES
POST,/api/v1/agentic/workflows/{workflow_id}/retry,retry_workflow,AUTHENTICATED_BROWSER_MUTATION,SESSION,YES,YES,,get_current_identity;get_db;get_scoped_db;require_agentic_mutation_rate;require_csrf;require_trusted_origin,,YES
POST,/api/v1/agentic/workflows/{workflow_id}/start,start_workflow,AUTHENTICATED_BROWSER_MUTATION,SESSION,YES,YES,,get_current_identity;get_db;get_scoped_db;require_agentic_mutation_rate;require_csrf;require_trusted_origin,,YES
POST,/api/v1/auth/login,login,PUBLIC_BROWSER_MUTATION,PUBLIC,YES,YES,,get_db;require_public_browser_csrf;require_trusted_origin,,YES
POST,/api/v1/auth/logout,logout,AUTHENTICATED_BROWSER_MUTATION,SESSION,YES,YES,,get_current_identity;get_db;require_csrf;require_trusted_origin,,YES
GET,/api/v1/auth/me,me,SAFE_METHOD,SESSION,NO,NO,,get_current_identity;get_db,,YES
POST,/api/v1/auth/password/change,change_password,AUTHENTICATED_BROWSER_MUTATION,SESSION,YES,YES,,get_current_identity;get_db;require_csrf;require_trusted_origin,,YES
POST,/api/v1/auth/password/forgot,forgot_password,PUBLIC_BROWSER_MUTATION,PUBLIC,YES,YES,,get_db;require_public_browser_csrf;require_trusted_origin,,YES
POST,/api/v1/auth/password/reset,reset_password,PUBLIC_BROWSER_MUTATION,PUBLIC,YES,YES,,get_db;require_public_browser_csrf;require_trusted_origin,,YES
POST,/api/v1/auth/register,register,PUBLIC_BROWSER_MUTATION,PUBLIC,YES,YES,,get_db;require_public_browser_csrf;require_trusted_origin,,YES
GET,/api/v1/auth/sessions,list_sessions,SAFE_METHOD,SESSION,NO,NO,,get_current_identity;get_db;get_scoped_db,,YES
POST,/api/v1/auth/sessions/revoke-others,revoke_other_sessions,AUTHENTICATED_BROWSER_MUTATION,SESSION,YES,YES,,get_current_identity;get_db;get_scoped_db;require_csrf;require_trusted_origin,,YES
DELETE,/api/v1/auth/sessions/{session_id},revoke_session,AUTHENTICATED_BROWSER_MUTATION,SESSION,YES,YES,,get_current_identity;get_db;get_scoped_db;require_csrf;require_trusted_origin,,YES
POST,/api/v1/billing/checkout,checkout,AUTHENTICATED_BROWSER_MUTATION,SESSION,YES,YES,,get_current_identity;get_db;get_scoped_db;require_csrf;require_trusted_origin,,YES
GET,/api/v1/billing/plans,plans,SAFE_METHOD,PUBLIC,NO,NO,,get_db,,YES
POST,/api/v1/billing/portal,portal,AUTHENTICATED_BROWSER_MUTATION,SESSION,YES,YES,,get_current_identity;get_db;get_scoped_db;require_csrf;require_trusted_origin,,YES
GET,/api/v1/billing/subscription,subscription,SAFE_METHOD,SESSION,NO,NO,,get_current_identity;get_db;get_scoped_db,,YES
POST,/api/v1/billing/webhooks/{provider},webhook,SIGNED_MACHINE_MUTATION,PUBLIC,NO,NO,X-Signature,get_db,Machine webhook authenticated by bounded X-Signature verification; browser CSRF is not authority.,YES
GET,/api/v1/capsules,list_my_capsules,SAFE_METHOD,SESSION,NO,NO,,get_current_identity;get_db;get_scoped_db,,YES
GET,/api/v1/capsules/{capsule_id}/audit,audit,SAFE_METHOD,SESSION,NO,NO,,get_current_identity;get_db;get_scoped_db,,YES
