route,surface,tier,viewport,controls,disabledControls,links,headings,h1,textCharacters,cards,canvases,images,smallText,tinyTouchTargets,emptyStates,errorMarkers,loadingMarkers,scrollHeight,consoleErrors,screenshot
/today,Today,A,desktop-1920x1080,45,0,0,H1>H2>H3>H2>H2>H2,1,2019,18,2,0,18,29,0,0,0,1080,0,proof/v9-current-ui/today-desktop-1920x1080.png
/today,Today,A,mobile-390x844,24,0,0,H1>H2>H3>H2>H2,1,1001,12,2,1,6,7,0,0,0,844,0,proof/v9-current-ui/today-mobile-390x844.png
/talk,Talk,B,desktop-1920x1080,41,0,0,H1>H3>H3>H2,1,6783,9,2,0,17,26,0,0,0,1080,0,proof/v9-current-ui/talk-desktop-1920x1080.png
/talk,Talk,B,mobile-390x844,20,0,0,H1>H3>H3,1,5760,3,2,1,5,5,0,0,0,844,0,proof/v9-current-ui/talk-mobile-390x844.png
/journal,Journal,B,desktop-1920x1080,41,0,0,H1>H2>H2,1,1456,10,2,0,17,27,0,0,0,1080,0,proof/v9-current-ui/journal-desktop-1920x1080.png
/journal,Journal,B,mobile-390x844,20,0,0,H1>H2,1,439,4,2,1,5,5,0,0,0,844,0,proof/v9-current-ui/journal-mobile-390x844.png
/plan,Plan,B,desktop-1920x1080,40,1,0,H1>H2>H3>H2>H3>H2,1,1657,13,2,0,18,25,0,0,0,1080,0,proof/v9-current-ui/plan-desktop-1920x1080.png
/plan,Plan,B,mobile-390x844,19,1,0,H1>H2>H3>H2>H3,1,645,7,2,1,6,2,0,0,0,844,0,proof/v9-current-ui/plan-mobile-390x844.png
/systems,Systems,A,desktop-1920x1080,92,14,0,H1>H2>H2>H2>H2>H2>H2,1,5163,17,2,2,54,62,0,0,0,1080,0,proof/v9-current-ui/systems-desktop-1920x1080.png
/systems,Systems,A,mobile-390x844,70,14,0,H1>H2>H2>H2>H2>H2,1,3980,11,2,3,40,19,0,0,0,844,0,proof/v9-current-ui/systems-mobile-390x844.png
/universe,Universe,A,desktop-1920x1080,92,14,0,H1>H2>H2>H2>H2>H2>H2,1,5163,17,2,2,54,62,0,0,0,1080,0,proof/v9-current-ui/universe-desktop-1920x1080.png
/universe,Universe,A,mobile-390x844,70,14,0,H1>H2>H2>H2>H2>H2,1,3980,11,2,3,40,19,0,0,0,844,0,proof/v9-current-ui/universe-mobile-390x844.png
/universe/map,Map,A,desktop-1920x1080,92,14,0,H1>H2>H2>H2>H2>H2>H2,1,5201,17,2,2,54,62,0,0,0,1080,0,proof/v9-current-ui/map-desktop-1920x1080.png
/universe/map,Map,A,mobile-390x844,70,14,0,H1>H2>H2>H2>H2>H2,1,4018,11,2,3,40,19,0,0,0,844,0,proof/v9-current-ui/map-mobile-390x844.png
/universe/orbits,Orbits,A,desktop-1920x1080,92,14,0,H1>H2>H2>H2>H2>H2>H2,1,5206,17,2,2,54,62,0,0,0,1080,0,proof/v9-current-ui/orbits-desktop-1920x1080.png
/universe/orbits,Orbits,A,mobile-390x844,70,14,0,H1>H2>H2>H2>H2>H2,1,4023,11,2,3,40,19,0,0,0,844,0,proof/v9-current-ui/orbits-mobile-390x844.png
/universe/timeline,Timeline,B,desktop-1920x1080,92,14,0,H1>H2>H2>H2>H2>H2>H2,1,5210,17,2,2,54,62,0,0,0,1080,0,proof/v9-current-ui/timeline-desktop-1920x1080.png
/universe/timeline,Timeline,B,mobile-390x844,70,14,0,H1>H2>H2>H2>H2>H2,1,4027,11,2,3,40,19,0,0,0,844,0,proof/v9-current-ui/timeline-mobile-390x844.png
/universe/insights,Insights,B,desktop-1920x1080,98,14,0,H1>H2>H2>H2>H2>H2>H2,1,5320,17,2,2,54,68,0,0,0,1080,0,proof/v9-current-ui/insights-desktop-1920x1080.png
/universe/insights,Insights,B,mobile-390x844,76,14,0,H1>H2>H2>H2>H2>H2,1,4137,11,2,3,40,24,0,0,0,844,0,proof/v9-current-ui/insights-mobile-390x844.png
/universe/research,Research,A,desktop-1920x1080,92,14,0,H1>H2>H2>H2>H2>H2>H2,1,5241,17,2,2,54,62,0,0,0,1080,0,proof/v9-current-ui/research-desktop-1920x1080.png
/universe/research,Research,A,mobile-390x844,70,14,0,H1>H2>H2>H2>H2>H2,1,4058,11,2,3,40,19,0,0,0,844,0,proof/v9-current-ui/research-mobile-390x844.png
/universe/web-signals,Web Signals,B,desktop-1920x1080,92,14,0,H1>H2>H2>H2>H2>H2>H2,1,5205,17,2,2,54,62,0,0,0,1080,0,proof/v9-current-ui/web-signals-desktop-1920x1080.png
