route,surface,tier,viewport,controls,disabledControls,links,headings,h1,textCharacters,cards,canvases,images,smallText,tinyTouchTargets,emptyStates,errorMarkers,loadingMarkers,scrollHeight,consoleErrors,screenshot
/today,Today,A,desktop-1920x1080,45,0,0,H1>H2>H3>H2>H2>H2,1,1994,18,2,0,18,29,0,0,0,1080,0,proof/v9-current-ui/today-desktop-1920x1080.png
/today,Today,A,mobile-390x844,25,0,0,H1>H2>H3>H2>H2,1,980,12,2,0,6,8,0,0,0,844,0,proof/v9-current-ui/today-mobile-390x844.png
/talk,Talk,B,desktop-1920x1080,41,0,0,H1>H3>H3>H2,1,1688,9,2,0,17,26,0,0,0,1080,0,proof/v9-current-ui/talk-desktop-1920x1080.png
/talk,Talk,B,mobile-390x844,21,0,0,H1>H3>H3,1,669,3,2,0,5,6,0,0,0,844,0,proof/v9-current-ui/talk-mobile-390x844.png
/journal,Journal,B,desktop-1920x1080,41,0,0,H1>H2>H2,1,1461,10,2,0,17,27,0,0,0,1080,0,proof/v9-current-ui/journal-desktop-1920x1080.png
/journal,Journal,B,mobile-390x844,21,0,0,H1>H2,1,448,4,2,0,5,6,0,0,0,844,0,proof/v9-current-ui/journal-mobile-390x844.png
/plan,Plan,B,desktop-1920x1080,40,1,0,H1>H2>H3>H2>H3>H2,1,1664,13,2,0,18,25,0,0,0,1080,0,proof/v9-current-ui/plan-desktop-1920x1080.png
/plan,Plan,B,mobile-390x844,20,1,0,H1>H2>H3>H2>H3,1,656,7,2,0,6,3,0,0,0,844,0,proof/v9-current-ui/plan-mobile-390x844.png
/systems,Systems,A,desktop-1920x1080,91,14,0,H1>H2>H2>H2>H2>H2>H2,1,5233,17,2,1,54,62,0,0,0,1080,0,proof/v9-current-ui/systems-desktop-1920x1080.png
/systems,Systems,A,mobile-390x844,70,14,0,H1>H2>H2>H2>H2>H2,1,4054,11,2,1,40,20,0,0,0,844,0,proof/v9-current-ui/systems-mobile-390x844.png
/universe,Universe,A,desktop-1920x1080,91,14,0,H1>H2>H2>H2>H2>H2>H2,1,5233,17,2,1,54,62,0,0,0,1080,0,proof/v9-current-ui/universe-desktop-1920x1080.png
/universe,Universe,A,mobile-390x844,70,14,0,H1>H2>H2>H2>H2>H2,1,4054,11,2,1,40,20,0,0,0,844,0,proof/v9-current-ui/universe-mobile-390x844.png
